,MuonEnergy,RecoE
433,697.691,697.690
434,744.624,820.387
435,703.971,703.816
436,762.958,762.954
437,865.130,874.316
438,899.221,899.219
439,766.061,765.937
440,684.031,707.785
441,766.510,766.510
442,818.966,862.438
443,998.185,998.308
444,757.055,784.492
445,754.139,841.657
446,1758.810,1750.034
447,1183.500,1183.615
448,764.963,744.757
449,1423.480,1423.480
450,840.070,839.958
451,654.213,654.208
452,927.624,927.632
453,1533.980,1467.868
454,1682.210,1623.348
455,991.740,840.918
456,1140.750,1140.750
457,1143.840,1143.887
458,1268.770,1352.197
459,676.568,654.956
460,451.411,451.410
461,1276.910,1276.915
462,897.830,874.697
463,741.118,761.564
464,671.953,660.270
465,723.812,757.235
466,984.280,1006.685
467,884.622,884.518
468,943.254,943.253
469,1108.510,1050.960
470,1360.750,716.866
